#Network|Station|Latitude|Longitude|Elevation|SiteName|StartTime|EndTime
CI|FDR|35.64262|-118.93433|352.1|5 Dogs Range|2018-04-30T00:00:00|3000-01-01T00:00:00
CI|FHO|34.09355|-116.93588|1614.0|Forest Home - SOSAF Station|2009-08-04T19:20:00|3000-01-01T00:00:00
CI|FIG|34.72832|-119.98803|945.0|Figueroa Mountain|2001-02-02T00:00:00|3000-01-01T00:00:00
CI|FMO|34.409286|-118.920887|137.0|Fillmore|2013-10-29T00:00:00|3000-01-01T00:00:00
CI|FMP|33.71264|-118.29381|89.0|Fort Macarthur Park|2000-08-30T00:00:00|3000-01-01T00:00:00
CI|FON|34.09957|-117.43876|388.8|Fontana|1995-08-10T00:00:00|3000-01-01T00:00:00
CI|FOX2|34.7339|-118.24046|719.7|Fox Airport 2|2013-07-15T00:00:00|3000-01-01T00:00:00
CI|FRK|33.40209|-115.63835|60.0|Frink|1981-07-31T00:00:00|3000-01-01T00:00:00
CI|FRM|34.77518|-118.96935|2443.0|Frazier Mountain|2013-10-30T00:00:00|3000-01-01T00:00:00
CI|FUL|33.8717|-117.92251|51.0|Fullerton|1995-08-15T00:00:00|3000-01-01T00:00:00
CI|FUR|36.46703|-116.86322|-37.0|Furnace Creek|1996-11-19T00:00:00|3000-01-01T00:00:00
CI|GATR|34.55266|-120.50235|590.0|GATR Compound|2008-07-02T15:00:00|3000-01-01T00:00:00
CI|GCC|34.32758|-118.31888|726.6|Gold Creek Center|2017-06-08T12:00:00|3000-01-01T00:00:00
CI|GDF|34.4793|-118.91676|756.3|Good Enough Ridge, Los Padres NF|2021-08-06T00:00:00|3000-01-01T00:00:00
CI|GFF|34.923805|-115.072662|791.1|Goffs|2017-04-06T00:00:00|3000-01-01T00:00:00
CI|GFS|34.476604|-120.214358|71.1|Santa Barbara County Fire Station #18|2016-05-23T07:00:00|3000-01-01T00:00:00
CI|GLA|33.05149|-114.82706|610.0|Glamis|1966-12-19T00:00:00|3000-01-01T00:00:00
CI|GMA|34.29148|-116.38256|848.0|Goat Mountain Astronomical Research Station|2013-12-04T00:00:00|3000-01-01T00:00:00
CI|GMR|34.78457|-115.65994|1326.0|Granite Mountains Research Center|2006-04-04T00:00:00|3000-01-01T00:00:00
CI|GOR|33.1537|-117.22921|138.0|Green Oak Ranch|1999-06-29T00:00:00|3000-01-01T00:00:00
CI|GOU|34.22119|-118.18834|587.0|Gould|2013-10-29T00:00:00|3000-01-01T00:00:00
CI|GR2|34.11816|-118.30024|342.0|Griffith Observatory|1998-03-30T00:00:00|3000-01-01T00:00:00
CI|GRA|36.99608|-117.36621|689.0|Grapevine Ranger Station|2001-04-18T00:00:00|3000-01-01T00:00:00
CI|GSA|34.13677|-118.1283|234.0|525 S Wilson Basement, Pasadena|1987-01-14T00:00:00|3000-01-01T00:00:00
CI|GSC|35.30177|-116.80574|1000.0|Goldstone|1961-11-07T00:00:00|3000-01-01T00:00:00
CI|GVR|34.04972|-118.11995|141.0|Garvey|1987-10-04T00:00:00|3000-01-01T00:00:00
CI|HAR|35.0114|-117.29909|620.0|Harper Dry Lake bed|2013-12-04T00:00:00|3000-01-01T00:00:00
CI|HAY|33.70734|-115.63889|458.0|Hayfield|2014-07-17T00:00:00|3000-01-01T00:00:00
CI|HDH|34.77529|-118.63999|964.6|High Desert Hunt Club - Tejon Ranch|2015-06-15T00:00:00|3000-01-01T00:00:00
CI|HEC|34.8294|-116.335|920.0|Hector|1997-08-01T00:00:00|3000-01-01T00:00:00
CI|HHL|34.600796|-119.748579|1347.9|Happy Hollow, Los Padres NF|2021-08-05T00:00:00|3000-01-01T00:00:00
CI|HIW|35.03998|-115.38423|1276.9|Hole In The Wall|2017-06-08T00:00:00|3000-01-01T00:00:00
CI|HLL|34.17643|-118.35967|193.0|North Hollywood|2000-03-23T00:00:00|3000-01-01T00:00:00
CI|HLN|34.12128|-117.21897|358.9|Highland|1995-08-10T00:00:00|3000-01-01T00:00:00
CI|HMT2|33.708115|-117.001524|593.0|Hemet 2|2013-05-21T00:00:00|3000-01-01T00:00:00
CI|HOL|34.45831|-117.84539|1267.0|Holcomb Ridge|2014-07-22T19:00:00|3000-01-01T00:00:00
