time, latitude, longitude, depth, depthUnits, magnitude, magnitudeType
2022-04-03T09:51:30.520Z, 35.03817, -116.97650,   2.01, KILOMETER,  3.62, Mw
2022-04-02T17:58:15.660Z, 33.03683, -116.37650,  12.52, KILOMETER,  2.26, Ml
2022-04-02T05:24:48.010Z, 33.19100, -116.00517,   8.31, KILOMETER,   2.4, Ml
2022-04-01T21:12:39.550Z, 33.18183, -115.61017,   3.35, KILOMETER,  2.29, Ml
2022-04-01T21:04:42.550Z, 33.18217, -115.60617,   3.54, KILOMETER,  2.03, Ml
2022-04-01T16:11:11.980Z, 35.08900, -118.87200,  14.35, KILOMETER,  2.29, Ml
2022-04-01T13:14:37.370Z, 36.00033, -117.32500,   2.32, KILOMETER,  2.62, Ml
2022-04-01T11:38:25.540Z, 33.15767, -116.45833,  10.23, KILOMETER,  2.27, Ml
2022-04-01T08:44:03.130Z, 32.79967, -115.45000,  13.60, KILOMETER,  2.81, Ml
2022-04-01T06:59:22.730Z, 33.99350, -118.42017,  10.42, KILOMETER,  2.32, Ml
2022-03-29T21:57:18.440Z, 35.32433, -118.52667,   3.33, KILOMETER,  2.12, Ml
2022-03-29T19:47:45.720Z, 35.86467, -117.66800,   6.26, KILOMETER,  2.14, Ml
2022-03-29T19:27:01.520Z, 32.91033, -117.68233,  18.12, KILOMETER,  2.13, Ml
2022-03-29T19:08:19.980Z, 33.29400, -116.77433,  11.46, KILOMETER,  2.18, Ml
2022-03-29T18:35:43.770Z, 33.19133, -116.00317,   8.54, KILOMETER,  2.71, Ml
2022-03-29T06:34:45.330Z, 33.64733, -116.72433,  13.06, KILOMETER,  2.09, Ml
2022-03-28T19:00:09.580Z, 35.63950, -117.45067,   6.78, KILOMETER,  2.05, Ml
2022-03-28T15:24:32.130Z, 33.18317, -115.60950,   2.28, KILOMETER,  3.04, Ml
2022-03-28T15:24:30.320Z, 33.18717, -115.60650,   1.57, KILOMETER,  2.35, Ml
